"","item_definition","Age_Months","Percentage_Knowing"
"1848","sauce","18",0.04
"1849","sauce","19",0.08
"1850","sauce","20",0.1
"1851","sauce","21",0.15
"1852","sauce","22",0.17
"1853","sauce","23",0.28
"1854","sauce","24",0.31
"1855","sauce","25",0.32
"1856","sauce","26",0.31
"1857","sauce","27",0.39
"1858","sauce","28",0.55
"1859","sauce","29",0.51
"1860","sauce","30",0.55
"1861","soda","16",0.03
"1862","soda","17",0.06
"1863","soda","18",0.09
"1864","soda","19",0.11
"1865","soda","20",0.19
"1866","soda","21",0.16
"1867","soda","22",0.24
"1868","soda","23",0.17
"1869","soda","24",0.26
"1870","soda","25",0.34
"1871","soda","26",0.36
"1872","soda","27",0.32
"1873","soda","28",0.64
"1874","soda","29",0.41
"1875","soda","30",0.41
"1876","soup","16",0.03
"1877","soup","17",0.05
"1878","soup","18",0.09
"1879","soup","19",0.16
"1880","soup","20",0.19
"1881","soup","21",0.25
"1882","soup","22",0.34
"1883","soup","23",0.4
"1884","soup","24",0.46
"1885","soup","25",0.5
"1886","soup","26",0.55
"1887","soup","27",0.56
"1888","soup","28",0.73
"1889","soup","29",0.68
"1890","soup","30",0.72
"1891","spaghetti","16",0.03
"1892","spaghetti","17",0.07
"1893","spaghetti","18",0.1
"1894","spaghetti","19",0.17
"1895","spaghetti","20",0.2
"1896","spaghetti","21",0.24
"1897","spaghetti","22",0.29
"1898","spaghetti","23",0.39
"1899","spaghetti","24",0.46
"1900","spaghetti","25",0.55
"1901","spaghetti","26",0.55
"1902","spaghetti","27",0.59
"1903","spaghetti","28",0.79
"1904","spaghetti","29",0.66
"1905","spaghetti","30",0.74
"1906","strawberry","16",0.07
"1907","strawberry","17",0.09
"1908","strawberry","18",0.15
"1909","strawberry","19",0.22
"1910","strawberry","20",0.23
"1911","strawberry","21",0.35
"1912","strawberry","22",0.4
"1913","strawberry","23",0.5
"1914","strawberry","24",0.56
"1915","strawberry","25",0.59
"1916","strawberry","26",0.64
"1917","strawberry","27",0.66
"1918","strawberry","28",0.79
"1919","strawberry","29",0.76
"1920","strawberry","30",0.8
"1921","toast","16",0.09
"1922","toast","17",0.12
"1923","toast","18",0.17
"1924","toast","19",0.24
"1925","toast","20",0.26
"1926","toast","21",0.31
"1927","toast","22",0.36
"1928","toast","23",0.47
"1929","toast","24",0.52
"1930","toast","25",0.54
"1931","toast","26",0.57
"1932","toast","27",0.62
"1933","toast","28",0.79
"1934","toast","29",0.65
"1935","toast","30",0.69
"1936","tuna","16",0.01
"1937","tuna","17",0.03
"1938","tuna","18",0.04
"1939","tuna","19",0.05
"1940","tuna","20",0.04
"1941","tuna","21",0.05
"1942","tuna","22",0.11
"1943","tuna","23",0.15
"1944","tuna","24",0.15
"1945","tuna","25",0.18
"1946","tuna","26",0.21
"1947","tuna","27",0.25
"1948","tuna","28",0.4
"1949","tuna","29",0.26
"1950","tuna","30",0.33
"1951","vanilla","16",0
"1952","vanilla","17",0.01
"1953","vanilla","18",0.02
"1954","vanilla","19",0.04
"1955","vanilla","20",0.02
"1956","vanilla","21",0.05
"1957","vanilla","22",0.05
"1958","vanilla","23",0.08
"1959","vanilla","24",0.11
"1960","vanilla","25",0.14
"1961","vanilla","26",0.18
"1962","vanilla","27",0.23
"1963","vanilla","28",0.34
"1964","vanilla","29",0.28
"1965","vanilla","30",0.37
"1966","vitamins","16",0.02
"1967","vitamins","17",0.03
"1968","vitamins","18",0.05
"1969","vitamins","19",0.09
"1970","vitamins","20",0.11
"1971","vitamins","21",0.13
"1972","vitamins","22",0.19
"1973","vitamins","23",0.17
"1974","vitamins","24",0.26
"1975","vitamins","25",0.36
"1976","vitamins","26",0.39
"1977","vitamins","27",0.42
"1978","vitamins","28",0.57
"1979","vitamins","29",0.45
"1980","vitamins","30",0.5
"1981","yogurt","16",0.08
"1982","yogurt","17",0.15
"1983","yogurt","18",0.21
"1984","yogurt","19",0.31
"1985","yogurt","20",0.33
"1986","yogurt","21",0.37
"1987","yogurt","22",0.45
"1988","yogurt","23",0.55
"1989","yogurt","24",0.61
"1990","yogurt","25",0.62
"1991","yogurt","26",0.65
"1992","yogurt","27",0.67
"1993","yogurt","28",0.76
"1994","yogurt","29",0.75
"1995","yogurt","30",0.84
"1996","beads","16",0.03
"1997","beads","17",0.05
"1998","beads","18",0.06
"1999","beads","19",0.1
"2000","beads","20",0.11
"2001","beads","21",0.13
"2002","beads","22",0.13
"2003","beads","23",0.17
"2004","beads","24",0.21
"2005","beads","25",0.24
"2006","beads","26",0.23
"2007","beads","27",0.26
"2008","beads","28",0.44
"2009","beads","29",0.3
"2010","beads","30",0.35
"2011","belt","16",0.02
"2012","belt","17",0.05
"2013","belt","18",0.08
"2014","belt","19",0.14
"2015","belt","20",0.15
"2016","belt","21",0.17
"2017","belt","22",0.23
"2018","belt","23",0.24
"2019","belt","24",0.28
"2020","belt","25",0.37
"2021","belt","26",0.37
"2022","belt","27",0.42
"2023","belt","28",0.64
"2024","belt","29",0.49
"2025","belt","30",0.5
"2026","bib","16",0.09
"2027","bib","17",0.14
"2028","bib","18",0.21
"2029","bib","19",0.31
"2030","bib","20",0.28
"2031","bib","21",0.32
"2032","bib","22",0.36
"2033","bib","23",0.47
"2034","bib","24",0.5
"2035","bib","25",0.54
"2036","bib","26",0.56
"2037","bib","27",0.55
"2038","bib","28",0.76
"2039","bib","29",0.58
"2040","bib","30",0.63
"2041","boots","16",0.11
"2042","boots","17",0.17
"2043","boots","18",0.23
"2044","boots","19",0.32
"2045","boots","20",0.36
"2046","boots","21",0.45
"2047","boots","22",0.54
"2048","boots","23",0.64
"2049","boots","24",0.65
"2050","boots","25",0.67
"2051","boots","26",0.69
"2052","boots","27",0.72
"2053","boots","28",0.82
"2054","boots","29",0.82
"2055","boots","30",0.79
"2056","button","16",0.09
"2057","button","17",0.14
"2058","button","18",0.19
"2059","button","19",0.3
"2060","button","20",0.34
"2061","button","21",0.37
"2062","button","22",0.42
"2063","button","23",0.53
"2064","button","24",0.55
"2065","button","25",0.63
"2066","button","26",0.65
"2067","button","27",0.64
"2068","button","28",0.84
"2069","button","29",0.73
"2070","button","30",0.77
"2071","coat","16",0.12
"2072","coat","17",0.12
"2073","coat","18",0.18
"2074","coat","19",0.31
"2075","coat","20",0.34
"2076","coat","21",0.39
"2077","coat","22",0.48
"2078","coat","23",0.53
"2079","coat","24",0.6
"2080","coat","25",0.65
"2081","coat","26",0.64
"2082","coat","27",0.68
"2083","coat","28",0.79
"2084","coat","29",0.71
"2085","coat","30",0.71
"2086","diaper","16",0.21
"2087","diaper","17",0.29
"2088","diaper","18",0.41
"2089","diaper","19",0.49
"2090","diaper","20",0.52
"2091","diaper","21",0.57
"2092","diaper","22",0.65
"2093","diaper","23",0.71
"2094","diaper","24",0.74
"2095","diaper","25",0.85
"2096","diaper","26",0.84
"2097","diaper","27",0.85
"2098","diaper","28",0.94
"2099","diaper","29",0.89
"2100","diaper","30",0.87
"2101","dress","16",0.03
"2102","dress","17",0.05
"2103","dress","18",0.09
"2104","dress","19",0.14
"2105","dress","20",0.18
"2106","dress","21",0.21
"2107","dress","22",0.29
"2108","dress","23",0.36
"2109","dress","24",0.41
"2110","dress","25",0.45
"2111","dress","26",0.53
"2112","dress","27",0.56
"2113","dress","28",0.7
"2114","dress","29",0.61
"2115","dress","30",0.66
"2116","gloves","16",0
"2117","gloves","17",0.04
"2118","gloves","18",0.05
"2119","gloves","19",0.09
"2120","gloves","20",0.12
"2121","gloves","21",0.12
"2122","gloves","22",0.21
"2123","gloves","23",0.29
"2124","gloves","24",0.35
"2125","gloves","25",0.38
"2126","gloves","26",0.47
"2127","gloves","27",0.44
"2128","gloves","28",0.6
"2129","gloves","29",0.58
"2130","gloves","30",0.59
"2131","hat","16",0.24
"2132","hat","17",0.33
"2133","hat","18",0.45
"2134","hat","19",0.56
"2135","hat","20",0.62
"2136","hat","21",0.67
"2137","hat","22",0.7
"2138","hat","23",0.79
"2139","hat","24",0.79
"2140","hat","25",0.85
"2141","hat","26",0.85
"2142","hat","27",0.84
"2143","hat","28",0.93
"2144","hat","29",0.87
"2145","hat","30",0.88
"2146","jacket","16",0.06
"2147","jacket","17",0.11
"2148","jacket","18",0.14
"2149","jacket","19",0.25
"2150","jacket","20",0.27
"2151","jacket","21",0.31
"2152","jacket","22",0.42
"2153","jacket","23",0.5
"2154","jacket","24",0.55
"2155","jacket","25",0.61
"2156","jacket","26",0.63
"2157","jacket","27",0.68
"2158","jacket","28",0.81
"2159","jacket","29",0.77
"2160","jacket","30",0.77
"2161","jeans","16",0.01
"2162","jeans","17",0.03
"2163","jeans","18",0.04
"2164","jeans","19",0.08
"2165","jeans","20",0.09
"2166","jeans","21",0.15
"2167","jeans","22",0.18
"2168","jeans","23",0.21
"2169","jeans","24",0.29
"2170","jeans","25",0.32
"2171","jeans","26",0.37
"2172","jeans","27",0.33
"2173","jeans","28",0.56
"2174","jeans","29",0.49
"2175","jeans","30",0.56
"2176","mittens","16",0.03
"2177","mittens","17",0.04
"2178","mittens","18",0.08
"2179","mittens","19",0.1
"2180","mittens","20",0.13
"2181","mittens","21",0.17
"2182","mittens","22",0.2
"2183","mittens","23",0.27
"2184","mittens","24",0.32
"2185","mittens","25",0.36
"2186","mittens","26",0.37
"2187","mittens","27",0.4
"2188","mittens","28",0.53
"2189","mittens","29",0.51
"2190","mittens","30",0.51
"2191","necklace","16",0.02
"2192","necklace","17",0.05
"2193","necklace","18",0.08
"2194","necklace","19",0.17
"2195","necklace","20",0.15
"2196","necklace","21",0.22
"2197","necklace","22",0.24
"2198","necklace","23",0.31
"2199","necklace","24",0.37
"2200","necklace","25",0.43
"2201","necklace","26",0.44
"2202","necklace","27",0.5
"2203","necklace","28",0.69
"2204","necklace","29",0.55
"2205","necklace","30",0.61
"2206","pajamas","16",0.04
"2207","pajamas","17",0.09
"2208","pajamas","18",0.15
"2209","pajamas","19",0.21
"2210","pajamas","20",0.24
"2211","pajamas","21",0.33
"2212","pajamas","22",0.41
"2213","pajamas","23",0.54
"2214","pajamas","24",0.58
"2215","pajamas","25",0.65
"2216","pajamas","26",0.7
"2217","pajamas","27",0.72
"2218","pajamas","28",0.84
"2219","pajamas","29",0.81
"2220","pajamas","30",0.84
"2221","pants","16",0.07
"2222","pants","17",0.11
"2223","pants","18",0.21
"2224","pants","19",0.29
"2225","pants","20",0.36
"2226","pants","21",0.42
"2227","pants","22",0.52
"2228","pants","23",0.61
"2229","pants","24",0.67
"2230","pants","25",0.71
"2231","pants","26",0.74
"2232","pants","27",0.81
"2233","pants","28",0.9
"2234","pants","29",0.85
"2235","pants","30",0.85
"2236","scarf","16",0
"2237","scarf","17",0.02
"2238","scarf","18",0.02
"2239","scarf","19",0.05
"2240","scarf","20",0.04
"2241","scarf","21",0.08
"2242","scarf","22",0.09
"2243","scarf","23",0.15
"2244","scarf","24",0.16
"2245","scarf","25",0.17
"2246","scarf","26",0.2
"2247","scarf","27",0.23
"2248","scarf","28",0.33
"2249","scarf","29",0.34
"2250","scarf","30",0.37
"2251","shirt","16",0.09
"2252","shirt","17",0.12
"2253","shirt","18",0.22
"2254","shirt","19",0.33
"2255","shirt","20",0.39
"2256","shirt","21",0.46
"2257","shirt","22",0.54
"2258","shirt","23",0.62
"2259","shirt","24",0.66
"2260","shirt","25",0.74
"2261","shirt","26",0.75
"2262","shirt","27",0.8
"2263","shirt","28",0.91
"2264","shirt","29",0.82
"2265","shirt","30",0.83
"2266","shoe","16",0.4
"2267","shoe","17",0.51
"2268","shoe","18",0.66
"2269","shoe","19",0.76
"2270","shoe","20",0.8
"2271","shoe","21",0.83
"2272","shoe","22",0.84
"2273","shoe","23",0.86
"2274","shoe","24",0.9
"2275","shoe","25",0.93
"2276","shoe","26",0.9
"2277","shoe","27",0.95
"2278","shoe","28",0.97
"2279","shoe","29",0.93
"2280","shoe","30",0.94
"2281","shorts","16",0.03
"2282","shorts","17",0.04
"2283","shorts","18",0.09
"2284","shorts","19",0.13
"2285","shorts","20",0.15
"2286","shorts","21",0.21
"2287","shorts","22",0.28
"2288","shorts","23",0.33
"2289","shorts","24",0.44
"2290","shorts","25",0.49
"2291","shorts","26",0.56
"2292","shorts","27",0.59
"2293","shorts","28",0.78
"2294","shorts","29",0.71
"2295","shorts","30",0.72
"2296","slipper","16",0.03
"2297","slipper","17",0.03
"2298","slipper","18",0.06
"2299","slipper","19",0.1
"2300","slipper","20",0.12
"2301","slipper","21",0.17
"2302","slipper","22",0.23
"2303","slipper","23",0.32
"2304","slipper","24",0.32
"2305","slipper","25",0.38
"2306","slipper","26",0.41
"2307","slipper","27",0.42
"2308","slipper","28",0.64
"2309","slipper","29",0.51
"2310","slipper","30",0.54
"2311","sneaker","16",0.01
"2312","sneaker","17",0.03
"2313","sneaker","18",0.04
"2314","sneaker","19",0.07
"2315","sneaker","20",0.1
"2316","sneaker","21",0.11
"2317","sneaker","22",0.14
"2318","sneaker","23",0.17
"2319","sneaker","24",0.19
"2320","sneaker","25",0.26
"2321","sneaker","26",0.3
"2322","sneaker","27",0.32
"2323","sneaker","28",0.46
"2324","sneaker","29",0.34
"2325","sneaker","30",0.38
"2326","snowsuit","16",0
"2327","snowsuit","17",0.02
"2328","snowsuit","18",0.02
"2329","snowsuit","19",0.02
"2330","snowsuit","20",0.02
"2331","snowsuit","21",0.04
"2332","snowsuit","22",0.06
"2333","snowsuit","23",0.1
"2334","snowsuit","24",0.1
"2335","snowsuit","25",0.12
"2336","snowsuit","26",0.15
"2337","snowsuit","27",0.17
"2338","snowsuit","28",0.25
"2339","snowsuit","29",0.23
"2340","snowsuit","30",0.25
"2341","sock","16",0.21
"2342","sock","17",0.24
"2343","sock","18",0.38
"2344","sock","19",0.48
"2345","sock","20",0.48
"2346","sock","21",0.51
"2347","sock","22",0.55
"2348","sock","23",0.63
"2349","sock","24",0.7
"2350","sock","25",0.76
"2351","sock","26",0.78
"2352","sock","27",0.81
"2353","sock","28",0.93
"2354","sock","29",0.8
"2355","sock","30",0.83
"2356","sweater","16",0.12
"2357","sweater","17",0.14
"2358","sweater","18",0.13
"2359","sweater","19",0.21
"2360","sweater","20",0.27
"2361","sweater","21",0.32
"2362","sweater","22",0.34
"2363","sweater","23",0.45
"2364","sweater","24",0.44
"2365","sweater","25",0.46
"2366","sweater","26",0.48
"2367","sweater","27",0.53
"2368","sweater","28",0.64
"2369","sweater","29",0.63
"2370","sweater","30",0.67
"2371","tights","16",0
"2372","tights","17",0.02
"2373","tights","18",0.02
"2374","tights","19",0.03
"2375","tights","20",0.05
"2376","tights","21",0.04
"2377","tights","22",0.11
"2378","tights","23",0.12
"2379","tights","24",0.13
"2380","tights","25",0.17
"2381","tights","26",0.19
"2382","tights","27",0.24
"2383","tights","28",0.3
"2384","tights","29",0.25
"2385","tights","30",0.29
"2386","underpants","16",0.01
"2387","underpants","17",0.02
"2388","underpants","18",0.03
"2389","underpants","19",0.05
"2390","underpants","20",0.1
"2391","underpants","21",0.1
"2392","underpants","22",0.14
"2393","underpants","23",0.2
"2394","underpants","24",0.24
"2395","underpants","25",0.29
"2396","underpants","26",0.4
"2397","underpants","27",0.43
"2398","underpants","28",0.58
"2399","underpants","29",0.55
"2400","underpants","30",0.53
"2401","zipper","16",0.03
"2402","zipper","17",0.05
"2403","zipper","18",0.08
"2404","zipper","19",0.2
"2405","zipper","20",0.21
"2406","zipper","21",0.24
"2407","zipper","22",0.33
"2408","zipper","23",0.4
"2409","zipper","24",0.48
"2410","zipper","25",0.53
"2411","zipper","26",0.55
"2412","zipper","27",0.58
"2413","zipper","28",0.73
"2414","zipper","29",0.65
"2415","zipper","30",0.69
"2416","ankle","16",0
"2417","ankle","17",0.02
"2418","ankle","18",0.03
"2419","ankle","19",0.06
"2420","ankle","20",0.07
"2421","ankle","21",0.08
"2422","ankle","22",0.11
"2423","ankle","23",0.14
"2424","ankle","24",0.17
"2425","ankle","25",0.19
"2426","ankle","26",0.21
"2427","ankle","27",0.26
"2428","ankle","28",0.45
"2429","ankle","29",0.32
"2430","ankle","30",0.37
"2431","arm","16",0.04
"2432","arm","17",0.12
"2433","arm","18",0.2
"2434","arm","19",0.32
"2435","arm","20",0.36
"2436","arm","21",0.45
"2437","arm","22",0.5
"2438","arm","23",0.58
"2439","arm","24",0.68
"2440","arm","25",0.74
"2441","arm","26",0.74
"2442","arm","27",0.78
"2443","arm","28",0.91
"2444","arm","29",0.83
"2445","arm","30",0.84
"2446","buttocks","16",0.09
"2447","buttocks","17",0.14
"2448","buttocks","18",0.19
"2449","buttocks","19",0.31
"2450","buttocks","20",0.32
"2451","buttocks","21",0.4
"2452","buttocks","22",0.51
"2453","buttocks","23",0.59
"2454","buttocks","24",0.63
"2455","buttocks","25",0.72
"2456","buttocks","26",0.71
"2457","buttocks","27",0.73
"2458","buttocks","28",0.89
"2459","buttocks","29",0.78
"2460","buttocks","30",0.78
"2461","cheek","16",0.06
"2462","cheek","17",0.08
"2463","cheek","18",0.16
"2464","cheek","19",0.25
"2465","cheek","20",0.26
"2466","cheek","21",0.36
"2467","cheek","22",0.43
"2468","cheek","23",0.52
"2469","cheek","24",0.56
"2470","cheek","25",0.63
"2471","cheek","26",0.64
"2472","cheek","27",0.68
"2473","cheek","28",0.81
"2474","cheek","29",0.73
"2475","cheek","30",0.74
"2476","chin","16",0.04
"2477","chin","17",0.06
"2478","chin","18",0.12
"2479","chin","19",0.23
"2480","chin","20",0.25
"2481","chin","21",0.3
"2482","chin","22",0.38
"2483","chin","23",0.47
"2484","chin","24",0.52
"2485","chin","25",0.56
"2486","chin","26",0.61
"2487","chin","27",0.67
"2488","chin","28",0.8
"2489","chin","29",0.72
"2490","chin","30",0.71
"2491","ear","16",0.29
"2492","ear","17",0.37
"2493","ear","18",0.48
"2494","ear","19",0.61
"2495","ear","20",0.66
"2496","ear","21",0.68
"2497","ear","22",0.76
"2498","ear","23",0.79
"2499","ear","24",0.83
"2500","ear","25",0.87
"2501","ear","26",0.88
"2502","ear","27",0.9
"2503","ear","28",0.96
"2504","ear","29",0.9
"2505","ear","30",0.9
"2506","eye","16",0.32
"2507","eye","17",0.41
"2508","eye","18",0.56
"2509","eye","19",0.67
"2510","eye","20",0.73
"2511","eye","21",0.75
"2512","eye","22",0.8
"2513","eye","23",0.83
"2514","eye","24",0.87
"2515","eye","25",0.92
"2516","eye","26",0.88
"2517","eye","27",0.93
"2518","eye","28",0.97
"2519","eye","29",0.93
"2520","eye","30",0.93
"2521","face","16",0.04
"2522","face","17",0.08
"2523","face","18",0.11
"2524","face","19",0.22
"2525","face","20",0.22
"2526","face","21",0.26
"2527","face","22",0.4
"2528","face","23",0.44
"2529","face","24",0.54
"2530","face","25",0.63
"2531","face","26",0.64
"2532","face","27",0.72
"2533","face","28",0.84
"2534","face","29",0.77
"2535","face","30",0.8
"2536","finger","16",0.08
"2537","finger","17",0.15
"2538","finger","18",0.2
"2539","finger","19",0.32
"2540","finger","20",0.38
"2541","finger","21",0.43
"2542","finger","22",0.51
"2543","finger","23",0.62
"2544","finger","24",0.67
"2545","finger","25",0.73
"2546","finger","26",0.74
"2547","finger","27",0.79
"2548","finger","28",0.89
"2549","finger","29",0.82
"2550","finger","30",0.87
"2551","foot","16",0.1
"2552","foot","17",0.15
"2553","foot","18",0.29
"2554","foot","19",0.41
"2555","foot","20",0.46
"2556","foot","21",0.5
"2557","foot","22",0.55
"2558","foot","23",0.65
"2559","foot","24",0.73
"2560","foot","25",0.81
"2561","foot","26",0.81
"2562","foot","27",0.85
"2563","foot","28",0.94
"2564","foot","29",0.87
"2565","foot","30",0.86
"2566","hair","16",0.15
"2567","hair","17",0.27
"2568","hair","18",0.34
"2569","hair","19",0.48
"2570","hair","20",0.54
"2571","hair","21",0.6
"2572","hair","22",0.66
"2573","hair","23",0.74
"2574","hair","24",0.77
"2575","hair","25",0.83
"2576","hair","26",0.82
"2577","hair","27",0.86
"2578","hair","28",0.96
"2579","hair","29",0.89
"2580","hair","30",0.89
"2581","hand","16",0.07
"2582","hand","17",0.12
"2583","hand","18",0.22
"2584","hand","19",0.34
"2585","hand","20",0.4
"2586","hand","21",0.53
"2587","hand","22",0.56
"2588","hand","23",0.68
"2589","hand","24",0.72
"2590","hand","25",0.79
"2591","hand","26",0.8
"2592","hand","27",0.83
"2593","hand","28",0.93
"2594","hand","29",0.9
"2595","hand","30",0.87
"2596","head","16",0.11
"2597","head","17",0.19
"2598","head","18",0.23
"2599","head","19",0.36
"2600","head","20",0.41
"2601","head","21",0.46
"2602","head","22",0.55
"2603","head","23",0.64
"2604","head","24",0.71
"2605","head","25",0.76
"2606","head","26",0.76
"2607","head","27",0.8
"2608","head","28",0.92
"2609","head","29",0.86
"2610","head","30",0.86
"2611","knee","16",0.09
"2612","knee","17",0.12
"2613","knee","18",0.19
"2614","knee","19",0.28
"2615","knee","20",0.32
"2616","knee","21",0.38
"2617","knee","22",0.44
"2618","knee","23",0.56
"2619","knee","24",0.6
"2620","knee","25",0.69
"2621","knee","26",0.71
"2622","knee","27",0.73
"2623","knee","28",0.85
"2624","knee","29",0.76
"2625","knee","30",0.77
"2626","leg","16",0.03
"2627","leg","17",0.08
"2628","leg","18",0.12
"2629","leg","19",0.25
"2630","leg","20",0.29
"2631","leg","21",0.32
"2632","leg","22",0.46
"2633","leg","23",0.53
"2634","leg","24",0.6
"2635","leg","25",0.69
"2636","leg","26",0.69
"2637","leg","27",0.76
"2638","leg","28",0.87
"2639","leg","29",0.81
"2640","leg","30",0.81
"2641","lips","16",0.03
"2642","lips","17",0.06
"2643","lips","18",0.07
"2644","lips","19",0.13
"2645","lips","20",0.15
"2646","lips","21",0.22
"2647","lips","22",0.29
"2648","lips","23",0.36
"2649","lips","24",0.4
"2650","lips","25",0.48
"2651","lips","26",0.52
"2652","lips","27",0.55
"2653","lips","28",0.73
"2654","lips","29",0.66
"2655","lips","30",0.68
"2656","mouth","16",0.17
"2657","mouth","17",0.24
"2658","mouth","18",0.34
"2659","mouth","19",0.48
"2660","mouth","20",0.52
"2661","mouth","21",0.56
"2662","mouth","22",0.62
"2663","mouth","23",0.7
"2664","mouth","24",0.73
"2665","mouth","25",0.8
"2666","mouth","26",0.79
"2667","mouth","27",0.85
"2668","mouth","28",0.93
"2669","mouth","29",0.88
"2670","mouth","30",0.87
"2671","nose","16",0.33
"2672","nose","17",0.44
"2673","nose","18",0.53
"2674","nose","19",0.67
"2675","nose","20",0.72
"2676","nose","21",0.74
"2677","nose","22",0.78
"2678","nose","23",0.82
"2679","nose","24",0.86
"2680","nose","25",0.9
"2681","nose","26",0.88
"2682","nose","27",0.9
"2683","nose","28",0.96
"2684","nose","29",0.91
"2685","nose","30",0.92
"2686","penis","16",0.04
"2687","penis","17",0.08
"2688","penis","18",0.12
"2689","penis","19",0.15
"2690","penis","20",0.19
"2691","penis","21",0.23
"2692","penis","22",0.24
"2693","penis","23",0.33
"2694","penis","24",0.4
"2695","penis","25",0.41
"2696","penis","26",0.41
"2697","penis","27",0.45
"2698","penis","28",0.6
"2699","penis","29",0.53
"2700","penis","30",0.54
"2701","shoulder","16",0.01
"2702","shoulder","17",0.03
"2703","shoulder","18",0.03
"2704","shoulder","19",0.09
"2705","shoulder","20",0.1
"2706","shoulder","21",0.16
"2707","shoulder","22",0.21
"2708","shoulder","23",0.28
"2709","shoulder","24",0.31
"2710","shoulder","25",0.37
"2711","shoulder","26",0.4
"2712","shoulder","27",0.48
"2713","shoulder","28",0.61
"2714","shoulder","29",0.55
"2715","shoulder","30",0.64
"2716","toe","16",0.12
"2717","toe","17",0.21
"2718","toe","18",0.3
"2719","toe","19",0.42
"2720","toe","20",0.42
"2721","toe","21",0.51
"2722","toe","22",0.56
"2723","toe","23",0.59
"2724","toe","24",0.66
"2725","toe","25",0.74
"2726","toe","26",0.73
"2727","toe","27",0.78
"2728","toe","28",0.9
"2729","toe","29",0.81
"2730","toe","30",0.82
"2731","tongue","16",0.07
"2732","tongue","17",0.14
"2733","tongue","18",0.17
"2734","tongue","19",0.26
"2735","tongue","20",0.27
"2736","tongue","21",0.36
"2737","tongue","22",0.42
"2738","tongue","23",0.49
"2739","tongue","24",0.53
"2740","tongue","25",0.63
"2741","tongue","26",0.6
"2742","tongue","27",0.67
"2743","tongue","28",0.81
"2744","tongue","29",0.72
"2745","tongue","30",0.76
"2746","tooth","16",0.08
"2747","tooth","17",0.14
"2748","tooth","18",0.23
"2749","tooth","19",0.37
"2750","tooth","20",0.35
"2751","tooth","21",0.4
"2752","tooth","22",0.5
"2753","tooth","23",0.55
"2754","tooth","24",0.62
"2755","tooth","25",0.74
"2756","tooth","26",0.72
"2757","tooth","27",0.75
"2758","tooth","28",0.88
"2759","tooth","29",0.8
"2760","tooth","30",0.8
"2761","tummy","16",0.1
"2762","tummy","17",0.18
"2763","tummy","18",0.27
"2764","tummy","19",0.39
"2765","tummy","20",0.4
"2766","tummy","21",0.44
"2767","tummy","22",0.54
"2768","tummy","23",0.64
"2769","tummy","24",0.67
"2770","tummy","25",0.79
"2771","tummy","26",0.77
"2772","tummy","27",0.77
"2773","tummy","28",0.91
"2774","tummy","29",0.83
"2775","tummy","30",0.84
"2776","vagina","16",0.02
"2777","vagina","17",0.04
"2778","vagina","18",0.06
"2779","vagina","19",0.09
"2780","vagina","20",0.1
"2781","vagina","21",0.11
"2782","vagina","22",0.15
"2783","vagina","23",0.17
"2784","vagina","24",0.2
"2785","vagina","25",0.22
"2786","vagina","26",0.25
"2787","vagina","27",0.26
"2788","vagina","28",0.38
"2789","vagina","29",0.37
"2790","vagina","30",0.39
"2791","basket","16",0.02
"2792","basket","17",0.05
"2793","basket","18",0.07
"2794","basket","19",0.18
"2795","basket","20",0.15
"2796","basket","21",0.21
"2797","basket","22",0.25
"2798","basket","23",0.34
"2799","basket","24",0.4
"2800","basket","25",0.47
"2801","basket","26",0.48
"2802","basket","27",0.51
"2803","basket","28",0.72
"2804","basket","29",0.61
"2805","basket","30",0.65
"2806","blanket","16",0.13
"2807","blanket","17",0.2
"2808","blanket","18",0.29
"2809","blanket","19",0.42
"2810","blanket","20",0.46
"2811","blanket","21",0.52
"2812","blanket","22",0.59
"2813","blanket","23",0.66
"2814","blanket","24",0.72
"2815","blanket","25",0.8
"2816","blanket","26",0.81
"2817","blanket","27",0.83
"2818","blanket","28",0.93
"2819","blanket","29",0.85
"2820","blanket","30",0.86
"2821","bottle","16",0.33
"2822","bottle","17",0.33
"2823","bottle","18",0.37
"2824","bottle","19",0.48
"2825","bottle","20",0.54
"2826","bottle","21",0.57
"2827","bottle","22",0.58
"2828","bottle","23",0.64
"2829","bottle","24",0.66
"2830","bottle","25",0.76
"2831","bottle","26",0.76
"2832","bottle","27",0.79
"2833","bottle","28",0.9
"2834","bottle","29",0.81
"2835","bottle","30",0.82
"2836","bowl","16",0.1
"2837","bowl","17",0.13
"2838","bowl","18",0.18
"2839","bowl","19",0.31
"2840","bowl","20",0.33
"2841","bowl","21",0.39
"2842","bowl","22",0.47
"2843","bowl","23",0.55
"2844","bowl","24",0.63
"2845","bowl","25",0.68
"2846","bowl","26",0.67
"2847","bowl","27",0.76
"2848","bowl","28",0.88
"2849","bowl","29",0.77
"2850","bowl","30",0.81
"2851","box","16",0.1
"2852","box","17",0.14
"2853","box","18",0.21
"2854","box","19",0.32
"2855","box","20",0.36
"2856","box","21",0.4
"2857","box","22",0.49
"2858","box","23",0.51
"2859","box","24",0.6
"2860","box","25",0.67
"2861","box","26",0.7
"2862","box","27",0.76
"2863","box","28",0.87
"2864","box","29",0.78
"2865","box","30",0.79
"2866","broom","16",0.04
"2867","broom","17",0.1
"2868","broom","18",0.12
"2869","broom","19",0.21
"2870","broom","20",0.26
"2871","broom","21",0.28
"2872","broom","22",0.37
